"YearMonth","Year","Month","GEO","Products and product groups","COORDINATE","VALUE","MnthInf","AnnMnthInf","AnnInf"
"2000-01",2000,"01","Canada","All-items","2.2",93.5,NA,NA,NA
"2000-01",2000,"01","Canada","Food","2.3",92.1,NA,NA,NA
"2000-01",2000,"01","Canada","Shelter","2.79",93.7,NA,NA,NA
"2000-01",2000,"01","Canada","Clothing and footwear","2.139",99.2,NA,NA,NA
"2000-01",2000,"01","Canada","Transportation","2.176",94.7,NA,NA,NA
"2000-01",2000,"01","Canada","Health and personal care","2.201",96.1,NA,NA,NA
"2000-01",2000,"01","Canada","Recreation, education and reading","2.219",93.8,NA,NA,NA
"2000-01",2000,"01","Canada","Goods","2.274",94,NA,NA,NA
"2000-01",2000,"01","Canada","Services","2.282",93.1,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","All-items","3.2",95.2,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Food","3.3",95.6,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Shelter","3.79",95.7,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Clothing and footwear","3.139",102.1,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Transportation","3.176",92.7,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Health and personal care","3.201",96.8,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Recreation, education and reading","3.219",96.6,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Goods","3.274",97.7,NA,NA,NA
"2000-01",2000,"01","Newfoundland and Labrador","Services","3.282",91.6,NA,NA,NA
"2000-01",2000,"01","St. John's, Newfoundland and Labrador","All-items","4.2",95.2,NA,NA,NA
"2000-01",2000,"01","St. John's, Newfoundland and Labrador","Shelter","4.79",95.3,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","All-items","5.2",92.7,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","Food","5.3",92,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","Shelter","5.79",94.7,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","Clothing and footwear","5.139",92.9,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","Transportation","5.176",92.6,NA,NA,NA
"2000-01",2000,"01","Prince Edward Island","Health and personal care","5.201",95.9,NA,NA,NA
