"Year","GEO","Class of electricity producer","Type of electricity generation","UOM","VALUE","lastmonth"
2008,"Newfoundland and Labrador","Electricity producers, industries","Conventional steam turbine","Megawatt hours",0,9
2008,"Newfoundland and Labrador","Electricity producers, industries","Hydraulic turbine","Megawatt hours",667092,9
2008,"Newfoundland and Labrador","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Newfoundland and Labrador","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",953711,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Combustion turbine","Megawatt hours",289443,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",1080212,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",41733865,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",58382,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",43161902,9
2008,"Newfoundland and Labrador","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2008,"Northwest Territories","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",28641,9
2008,"Northwest Territories","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",228591,9
2008,"Northwest Territories","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",55732,9
2008,"Northwest Territories","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",312964,9
2008,"Northwest Territories","Electricity producers, industries","Combustion turbine","Megawatt hours",110458,9
2008,"Northwest Territories","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2008,"Northwest Territories","Electricity producers, industries","Internal combustion turbine","Megawatt hours",262185,9
2008,"Northwest Territories","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",372643,9
2008,"Northwest Territories","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2008,"Northwest Territories","Total all classes of electricity producer","Combustion turbine","Megawatt hours",139099,9
2008,"Northwest Territories","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",228591,9
2008,"Northwest Territories","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",317917,9
2008,"Northwest Territories","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",685607,9
2008,"Northwest Territories","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2008,"Nova Scotia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",259199,9
2008,"Nova Scotia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",10492381,9
2008,"Nova Scotia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",1051637,9
2008,"Nova Scotia","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",15018,9
2008,"Nova Scotia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",11916130,9
2008,"Nova Scotia","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",97895,9
2008,"Nova Scotia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",209781,9
2008,"Nova Scotia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",38489,9
2008,"Nova Scotia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",248270,9
2008,"Nova Scotia","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2008,"Nova Scotia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",259199,9
2008,"Nova Scotia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",10702162,9
2008,"Nova Scotia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",1090126,9
2008,"Nova Scotia","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",15018,9
2008,"Nova Scotia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",12164400,9
2008,"Nova Scotia","Total all classes of electricity producer","Wind power turbine","Megawatt hours",97895,9
2008,"Nunavut","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",0,9
2008,"Nunavut","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",0,9
2008,"Nunavut","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",155263,9
2008,"Nunavut","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",155263,9
2008,"Nunavut","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2008,"Nunavut","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2008,"Nunavut","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Nunavut","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",0,9
2008,"Nunavut","Total all classes of electricity producer","Combustion turbine","Megawatt hours",0,9
2008,"Nunavut","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",0,9
2008,"Nunavut","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",155263,9
2008,"Nunavut","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",155263,9
2008,"Ontario","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",7260456,9
2008,"Ontario","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",26826899,9
2008,"Ontario","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",38794336,9
2008,"Ontario","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",14521,9
2008,"Ontario","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",83450291,9
2008,"Ontario","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2008,"Ontario","Electricity producers, electric utilities","Solar","Megawatt hours",NA,9
2008,"Ontario","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",156838625,9
2008,"Ontario","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",492122,9
2008,"Ontario","Electricity producers, industries","Combustion turbine","Megawatt hours",481569,9
2008,"Ontario","Electricity producers, industries","Conventional steam turbine","Megawatt hours",980524,9
2008,"Ontario","Electricity producers, industries","Hydraulic turbine","Megawatt hours",1216840,9
2008,"Ontario","Electricity producers, industries","Internal combustion turbine","Megawatt hours",3104,9
2008,"Ontario","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",2682037,9
2008,"Ontario","Total all classes of electricity producer","Combustion turbine","Megawatt hours",7742025,9
2008,"Ontario","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",27807423,9
2008,"Ontario","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",40011176,9
2008,"Ontario","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",17625,9
2008,"Ontario","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",83450291,9
2008,"Ontario","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2008,"Ontario","Total all classes of electricity producer","Solar","Megawatt hours",NA,9
2008,"Ontario","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",159520662,9
2008,"Ontario","Total all classes of electricity producer","Wind power turbine","Megawatt hours",492122,9
2008,"Prince Edward Island","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",-205,9
2008,"Prince Edward Island","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",656,9
2008,"Prince Edward Island","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",42,9
2008,"Prince Edward Island","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",106019,9
2008,"Prince Edward Island","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",105526,9
2008,"Prince Edward Island","Total all classes of electricity producer","Combustion turbine","Megawatt hours",-205,9
2008,"Prince Edward Island","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",656,9
2008,"Prince Edward Island","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",42,9
2008,"Prince Edward Island","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",106019,9
2008,"Prince Edward Island","Total all classes of electricity producer","Wind power turbine","Megawatt hours",105526,9
2008,"Quebec","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",204258,9
2008,"Quebec","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",665025,9
2008,"Quebec","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",165584337,9
2008,"Quebec","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",272601,9
2008,"Quebec","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",4057598,9
2008,"Quebec","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",171177467,9
2008,"Quebec","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",393648,9
2008,"Quebec","Electricity producers, industries","Conventional steam turbine","Megawatt hours",491758,9
2008,"Quebec","Electricity producers, industries","Hydraulic turbine","Megawatt hours",20816197,9
2008,"Quebec","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Quebec","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",21307955,9
2008,"Quebec","Total all classes of electricity producer","Combustion turbine","Megawatt hours",204258,9
2008,"Quebec","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",1156783,9
2008,"Quebec","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",186400534,9
2008,"Quebec","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",272601,9
2008,"Quebec","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",4057598,9
2008,"Quebec","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",192485422,9
2008,"Quebec","Total all classes of electricity producer","Wind power turbine","Megawatt hours",393648,9
2008,"Saskatchewan","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1347367,9
2008,"Saskatchewan","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",12762159,9
2008,"Saskatchewan","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",4029843,9
2008,"Saskatchewan","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",584,9
2008,"Saskatchewan","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2008,"Saskatchewan","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",18679068,9
2008,"Saskatchewan","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",539115,9
2008,"Saskatchewan","Electricity producers, industries","Conventional steam turbine","Megawatt hours",276865,9
2008,"Saskatchewan","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2008,"Saskatchewan","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Saskatchewan","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",276865,9
2008,"Saskatchewan","Total all classes of electricity producer","Combustion turbine","Megawatt hours",1347367,9
2008,"Saskatchewan","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",13039024,9
2008,"Saskatchewan","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",4029843,9
2008,"Saskatchewan","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",584,9
2008,"Saskatchewan","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2008,"Saskatchewan","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",18955933,9
2008,"Saskatchewan","Total all classes of electricity producer","Wind power turbine","Megawatt hours",539115,9
2008,"Yukon","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",345872,9
2008,"Yukon","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",23732,9
2008,"Yukon","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",369934,9
2008,"Yukon","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",330,9
2008,"Yukon","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Yukon","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",0,9
2008,"Yukon","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",345872,9
2008,"Yukon","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",23732,9
2008,"Yukon","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",369934,9
2008,"Yukon","Total all classes of electricity producer","Wind power turbine","Megawatt hours",330,9
2009,"Alberta","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",6628049,9
2009,"Alberta","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",45042166,9
2009,"Alberta","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",1528671,9
2009,"Alberta","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",73570,9
2009,"Alberta","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2009,"Alberta","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",53325560,9
2009,"Alberta","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",53104,9
2009,"Alberta","Electricity producers, industries","Combustion turbine","Megawatt hours",2736659,9
2009,"Alberta","Electricity producers, industries","Conventional steam turbine","Megawatt hours",3114152,9
2009,"Alberta","Electricity producers, industries","Internal combustion turbine","Megawatt hours",197,9
2009,"Alberta","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",5851008,9
2009,"Alberta","Total all classes of electricity producer","Combustion turbine","Megawatt hours",9364708,9
2009,"Alberta","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",48156318,9
2009,"Alberta","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",1528671,9
2009,"Alberta","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",73767,9
2009,"Alberta","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2009,"Alberta","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",59176568,9
2009,"Alberta","Total all classes of electricity producer","Wind power turbine","Megawatt hours",53104,9
2009,"British Columbia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",2239050,9
2009,"British Columbia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",1245629,9
2009,"British Columbia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",45625797,9
2009,"British Columbia","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",61134,9
2009,"British Columbia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",49171610,9
2009,"British Columbia","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2009,"British Columbia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",2778199,9
2009,"British Columbia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",10246122,9
2009,"British Columbia","Electricity producers, industries","Internal combustion turbine","Megawatt hours",5534,9
2009,"British Columbia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",13029855,9
2009,"British Columbia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",2239050,9
2009,"British Columbia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",4023828,9
2009,"British Columbia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",55871919,9
2009,"British Columbia","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",66668,9
2009,"British Columbia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",62201465,9
2009,"Canada","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",19929374,9
2009,"Canada","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",94935321,9
2009,"Canada","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",331943738,9
2009,"Canada","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",731423,9
2009,"Canada","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",85301134,9
2009,"Canada","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2009,"Canada","Electricity producers, electric utilities","Solar","Megawatt hours",NA,9
2009,"Canada","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",29953,9
2009,"Canada","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",534548872,9
2009,"Canada","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",1677929,9
2009,"Canada","Electricity producers, industries","Combustion turbine","Megawatt hours",3671137,9
2009,"Canada","Electricity producers, industries","Conventional steam turbine","Megawatt hours",8084170,9
2009,"Canada","Electricity producers, industries","Hydraulic turbine","Megawatt hours",30940005,9
2009,"Canada","Electricity producers, industries","Internal combustion turbine","Megawatt hours",256335,9
2009,"Canada","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",42951647,9
2009,"Canada","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2009,"Canada","Total all classes of electricity producer","Combustion turbine","Megawatt hours",23600511,9
2009,"Canada","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",103019491,9
2009,"Canada","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",362883743,9
2009,"Canada","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",987758,9
2009,"Canada","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",85301134,9
2009,"Canada","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2009,"Canada","Total all classes of electricity producer","Solar","Megawatt hours",NA,9
2009,"Canada","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",29953,9
2009,"Canada","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",577500519,9
2009,"Canada","Total all classes of electricity producer","Wind power turbine","Megawatt hours",1677929,9
2009,"Manitoba","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",8303,9
2009,"Manitoba","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",172818,9
2009,"Manitoba","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",33549069,9
2009,"Manitoba","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",13418,9
2009,"Manitoba","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",33743608,9
2009,"Manitoba","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",NA,9
2009,"Manitoba","Electricity producers, industries","Conventional steam turbine","Megawatt hours",77161,9
2009,"Manitoba","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2009,"Manitoba","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",77161,9
2009,"Manitoba","Total all classes of electricity producer","Combustion turbine","Megawatt hours",8303,9
2009,"Manitoba","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",249979,9
2009,"Manitoba","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",33549069,9
2009,"Manitoba","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",13418,9
2009,"Manitoba","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",33820769,9
2009,"Manitoba","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2009,"New Brunswick","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1820586,9
2009,"New Brunswick","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",7439579,9
2009,"New Brunswick","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",3250544,9
2009,"New Brunswick","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",4006,9
2009,"New Brunswick","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",-43731,9
