"Year","GEO","Class of electricity producer","Type of electricity generation","UOM","VALUE","lastmonth"
2008,"Alberta","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",6392991,9
2008,"Alberta","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",44069453,9
2008,"Alberta","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",1953783,9
2008,"Alberta","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",74223,9
2008,"Alberta","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2008,"Alberta","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",52553260,9
2008,"Alberta","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",58810,9
2008,"Alberta","Electricity producers, industries","Combustion turbine","Megawatt hours",2718020,9
2008,"Alberta","Electricity producers, industries","Conventional steam turbine","Megawatt hours",3247573,9
2008,"Alberta","Electricity producers, industries","Internal combustion turbine","Megawatt hours",240,9
2008,"Alberta","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",5965833,9
2008,"Alberta","Total all classes of electricity producer","Combustion turbine","Megawatt hours",9111011,9
2008,"Alberta","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",47317026,9
2008,"Alberta","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",1953783,9
2008,"Alberta","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",74463,9
2008,"Alberta","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2008,"Alberta","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",58519093,9
2008,"Alberta","Total all classes of electricity producer","Wind power turbine","Megawatt hours",58810,9
2008,"British Columbia","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",2499621,9
2008,"British Columbia","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",1558595,9
2008,"British Columbia","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",48270826,9
2008,"British Columbia","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",59689,9
2008,"British Columbia","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",52388731,9
2008,"British Columbia","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2008,"British Columbia","Electricity producers, industries","Conventional steam turbine","Megawatt hours",2948350,9
2008,"British Columbia","Electricity producers, industries","Hydraulic turbine","Megawatt hours",10502859,9
2008,"British Columbia","Electricity producers, industries","Internal combustion turbine","Megawatt hours",13912,9
2008,"British Columbia","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",13465121,9
2008,"British Columbia","Total all classes of electricity producer","Combustion turbine","Megawatt hours",2499621,9
2008,"British Columbia","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",4506945,9
2008,"British Columbia","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",58773685,9
2008,"British Columbia","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",73601,9
2008,"British Columbia","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",65853852,9
2008,"Canada","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",19420973,9
2008,"Canada","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",105415984,9
2008,"Canada","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",339403597,9
2008,"Canada","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",732636,9
2008,"Canada","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",88632809,9
2008,"Canada","Electricity producers, electric utilities","Other types of electricity generation","Megawatt hours",NA,9
2008,"Canada","Electricity producers, electric utilities","Solar","Megawatt hours",NA,9
2008,"Canada","Electricity producers, electric utilities","Tidal power turbine","Megawatt hours",15018,9
2008,"Canada","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",555312463,9
2008,"Canada","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",1687446,9
2008,"Canada","Electricity producers, industries","Combustion turbine","Megawatt hours",3596666,9
2008,"Canada","Electricity producers, industries","Conventional steam turbine","Megawatt hours",8848641,9
2008,"Canada","Electricity producers, industries","Hydraulic turbine","Megawatt hours",33241477,9
2008,"Canada","Electricity producers, industries","Internal combustion turbine","Megawatt hours",279441,9
2008,"Canada","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",45966225,9
2008,"Canada","Electricity producers, industries","Wind power turbine","Megawatt hours",NA,9
2008,"Canada","Total all classes of electricity producer","Combustion turbine","Megawatt hours",23017639,9
2008,"Canada","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",114264625,9
2008,"Canada","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",372645074,9
2008,"Canada","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",1012077,9
2008,"Canada","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",88632809,9
2008,"Canada","Total all classes of electricity producer","Other types of electricity generation","Megawatt hours",NA,9
2008,"Canada","Total all classes of electricity producer","Solar","Megawatt hours",NA,9
2008,"Canada","Total all classes of electricity producer","Tidal power turbine","Megawatt hours",15018,9
2008,"Canada","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",601278688,9
2008,"Canada","Total all classes of electricity producer","Wind power turbine","Megawatt hours",1687446,9
2008,"Manitoba","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",11439,9
2008,"Manitoba","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",439274,9
2008,"Manitoba","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",34588507,9
2008,"Manitoba","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",13078,9
2008,"Manitoba","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",35052298,9
2008,"Manitoba","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",NA,9
2008,"Manitoba","Electricity producers, industries","Conventional steam turbine","Megawatt hours",92121,9
2008,"Manitoba","Electricity producers, industries","Internal combustion turbine","Megawatt hours",0,9
2008,"Manitoba","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",92121,9
2008,"Manitoba","Total all classes of electricity producer","Combustion turbine","Megawatt hours",11439,9
2008,"Manitoba","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",531395,9
2008,"Manitoba","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",34588507,9
2008,"Manitoba","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",13078,9
2008,"Manitoba","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",35144419,9
2008,"Manitoba","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2008,"New Brunswick","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",1414382,9
2008,"New Brunswick","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",7521330,9
2008,"New Brunswick","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",3489092,9
2008,"New Brunswick","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",4789,9
2008,"New Brunswick","Electricity producers, electric utilities","Nuclear steam turbine","Megawatt hours",1124920,9
2008,"New Brunswick","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",13554513,9
2008,"New Brunswick","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",NA,9
2008,"New Brunswick","Electricity producers, industries","Combustion turbine","Megawatt hours",0,9
2008,"New Brunswick","Electricity producers, industries","Conventional steam turbine","Megawatt hours",601669,9
2008,"New Brunswick","Electricity producers, industries","Hydraulic turbine","Megawatt hours",0,9
2008,"New Brunswick","Electricity producers, industries","Total all types of electricity generation","Megawatt hours",601669,9
2008,"New Brunswick","Total all classes of electricity producer","Combustion turbine","Megawatt hours",1414382,9
2008,"New Brunswick","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours",8122999,9
2008,"New Brunswick","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours",3489092,9
2008,"New Brunswick","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours",4789,9
2008,"New Brunswick","Total all classes of electricity producer","Nuclear steam turbine","Megawatt hours",1124920,9
2008,"New Brunswick","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours",14156182,9
2008,"New Brunswick","Total all classes of electricity producer","Wind power turbine","Megawatt hours",NA,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Combustion turbine","Megawatt hours",2824,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Conventional steam turbine","Megawatt hours",1080212,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Hydraulic turbine","Megawatt hours",41066773,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Internal combustion turbine","Megawatt hours",58382,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Total all types of electricity generation","Megawatt hours",42208191,9
2008,"Newfoundland and Labrador","Electricity producers, electric utilities","Wind power turbine","Megawatt hours",NA,9
2008,"Newfoundland and Labrador","Electricity producers, industries","Combustion turbine","Megawatt hours",286619,9
