"Year","VALUE"
2000,1753
2001,1571
2002,1504
2003,1706
2004,2034
2005,2481
2006,3098
2007,2727
2008,2720
2009,3780
2010,3949
2011,2614
2012,3365
2013,2482
2014,2355
2015,2368
2016,2123
2017,2093
2018,2397
2019,2112
2020,2752
2021,3593
2022,4698
2023,4871
