"Year","GEO","GDP","Employment","GDPE"
2000,"Alberta",213656,1583.1,134.960520497758
2000,"British Columbia",182264,1930.8,94.3981769214833
2000,"Canada",1536666,14760.1,104.109457253
2000,"Manitoba",49028,552.2,88.7866714958348
2000,"New Brunswick",29501,331.6,88.9656212303981
2000,"Newfoundland and Labrador",23153,198.8,116.463782696177
2000,"Nova Scotia",34907,411.7,84.7874666018946
2000,"Ontario",614668,5814.9,105.705687114138
2000,"Prince Edward Island",5014,62.8,79.8407643312102
2000,"Quebec",317989,3401.5,93.4849331177422
2000,"Saskatchewan",57274,472.9,121.112285895538
2001,"Alberta",217167,1627.4,133.444144033428
2001,"British Columbia",183508,1920.9,95.5323025665053
2001,"Canada",1565480,14932.3,104.838504450085
2001,"Manitoba",49552,549.9,90.1109292598654
2001,"New Brunswick",30042,330,91.0363636363636
2001,"Newfoundland and Labrador",23708,203.7,116.386843397153
2001,"Nova Scotia",35961,415.4,86.569571497352
2001,"Ontario",625918,5921.3,105.706179386283
2001,"Prince Edward Island",4943,63.8,77.4764890282132
2001,"Quebec",323537,3441.3,94.0159242146863
2001,"Saskatchewan",56799,458.6,123.853030963803
2002,"Alberta",222143,1673.8,132.71776795316
2002,"British Columbia",190817,1952.4,97.7345830772383
2002,"Canada",1612433,15291.3,105.447738256394
2002,"Manitoba",50404,563.3,89.4798508787502
2002,"New Brunswick",31470,341.9,92.044457443697
2002,"Newfoundland and Labrador",27530,206.5,133.317191283293
2002,"Nova Scotia",37512,422.5,88.785798816568
2002,"Ontario",647284,6034.2,107.269232044016
2002,"Prince Edward Island",5178,64.7,80.0309119010819
2002,"Quebec",332523,3564.3,93.2926521336588
2002,"Saskatchewan",56609,467.7,121.036989523199
2003,"Alberta",229834,1729,132.928860613071
2003,"British Columbia",195226,1998.1,97.705820529503
2003,"Canada",1641560,15660.8,104.819677155701
2003,"Manitoba",51072,566.5,90.153574580759
2003,"New Brunswick",32255,341.7,94.3956687152473
2003,"Newfoundland and Labrador",29332,210.7,139.21214997627
2003,"Nova Scotia",37917,431.3,87.9132854161836
2003,"Ontario",654453,6212.9,105.337764972879
2003,"Prince Edward Island",5278,66.1,79.8487140695915
2003,"Quebec",336517,3628.8,92.7350639329806
2003,"Saskatchewan",59193,475.9,124.381172515234
2004,"Alberta",242622,1774.8,136.703853955375
2004,"British Columbia",202904,2028.3,100.036483754869
2004,"Canada",1692323,15915,106.335092679862
2004,"Manitoba",52336,572.6,91.4006287111422
2004,"New Brunswick",33073,348.1,95.0100545820167
2004,"Newfoundland and Labrador",29126,213.2,136.613508442777
2004,"Nova Scotia",38209,441.7,86.5044147611501
2004,"Ontario",672827,6314.3,106.556071140111
2004,"Prince Edward Island",5452,66.6,81.8618618618619
2004,"Quebec",344933,3675.8,93.8388922139398
2004,"Saskatchewan",62025,479.8,129.272613588995
2005,"Alberta",253330,1820.4,139.161722698308
2005,"British Columbia",212991,2089.7,101.924199645882
2005,"Canada",1746654,16123.5,108.329705088845
2005,"Manitoba",53805,576.5,93.3304423243712
2005,"New Brunswick",33335,346.5,96.2049062049062
2005,"Newfoundland and Labrador",29953,212.3,141.088082901554
2005,"Nova Scotia",38643,442.1,87.4078262836462
2005,"Ontario",694446,6381,108.83027738599
2005,"Prince Edward Island",5637,67.7,83.2644017725258
2005,"Quebec",350040,3705.5,94.464984482526
2005,"Saskatchewan",63659,481.8,132.127438771274
2006,"Alberta",269426,1916.6,140.574976520922
2006,"British Columbia",222403,2153.4,103.27992941395
2006,"Canada",1792730,16413.7,109.221564912238
2006,"Manitoba",55777,583.4,95.6067877956805
2006,"New Brunswick",34021,349.7,97.2862453531599
2006,"Newfoundland and Labrador",31148,214.4,145.279850746269
2006,"Nova Scotia",38940,440.2,88.4597910040891
2006,"Ontario",707467,6460.5,109.506539741506
2006,"Prince Edward Island",5788,68,85.1176470588235
2006,"Quebec",354268,3736,94.8254817987152
2006,"Saskatchewan",62716,491.6,127.575264442636
2007,"Alberta",274159,1994.4,137.464400320899
2007,"British Columbia",229376,2211.3,103.729028173473
2007,"Canada",1829479,16756.8,109.17830373341
2007,"Manitoba",57204,593.1,96.4491654021244
2007,"New Brunswick",34342,357.8,95.9809949692566
2007,"Newfoundland and Labrador",34658,218,158.981651376147
2007,"Nova Scotia",39439,446.3,88.3688102173426
2007,"Ontario",713004,6537.3,109.067046028177
2007,"Prince Edward Island",5748,68.2,84.2815249266862
2007,"Quebec",362927,3824.1,94.9052064538061
2007,"Saskatchewan",65052,506.3,128.485087892554
2008,"Alberta",278580,2050.3,135.87279910257
2008,"British Columbia",231000,2244.4,102.922830155053
2008,"Canada",1847690,16996.8,108.708109761838
2008,"Manitoba",59292,602.5,98.4099585062241
2008,"New Brunswick",34606,362.1,95.5702844518089
2008,"Newfoundland and Labrador",34137,221.5,154.117381489842
2008,"Nova Scotia",40219,451.8,89.0194776449757
2008,"Ontario",712990,6600.7,108.017331495144
2008,"Prince Edward Island",5807,68.8,84.4040697674419
2008,"Quebec",370086,3876,95.4814241486068
2008,"Saskatchewan",68463,518.7,131.98958935801
2009,"Alberta",263141,2030.2,129.613338587331
2009,"British Columbia",225497,2202,102.405540417802
2009,"Canada",1793828,16755.4,107.059694188142
2009,"Manitoba",59202,600.1,98.6535577403766
2009,"New Brunswick",34105,361.9,94.2387399834208
2009,"Newfoundland and Labrador",30714,215.6,142.458256029685
2009,"Nova Scotia",40363,450.7,89.5562458398047
