"Year","GEO","GDP","Employment","GDPE"
2009,"Ontario",690852,6444.7,107.196921501389
2009,"Prince Edward Island",5842,68.5,85.2846715328467
2009,"Quebec",367169,3854.5,95.2572318069789
2009,"Saskatchewan",64812,527.1,122.959590210586
2010,"Alberta",276213,2029.1,136.1258686117
2010,"British Columbia",231927,2221.7,104.391682045281
2010,"Canada",1849272,16978.2,108.920380252324
2010,"Manitoba",60653,610.2,99.3985578498853
2010,"New Brunswick",34783,359.4,96.7807456872565
2010,"Newfoundland and Labrador",32386,224.5,144.258351893096
2010,"Nova Scotia",41458,452.5,91.6198895027624
2010,"Ontario",711237,6547.4,108.628921403916
2010,"Prince Edward Island",5957,70.1,84.9786019971469
2010,"Quebec",374502,3928.1,95.3392225248848
2010,"Saskatchewan",67843,535.1,126.785647542515
2011,"Alberta",294040,2103.2,139.806009889692
2011,"British Columbia",238996,2234.9,106.938118036601
2011,"Canada",1907287,17244.3,110.603909697697
2011,"Manitoba",62107,616.4,100.757624918884
2011,"New Brunswick",34876,356.9,97.7192490893808
2011,"Newfoundland and Labrador",33271,232.7,142.978083369145
2011,"Nova Scotia",41732,454.9,91.7388437019125
2011,"Ontario",728407,6658,109.403274256533
2011,"Prince Edward Island",6085,72.1,84.3966712898752
2011,"Quebec",381523,3974.7,95.9878732986137
2011,"Saskatchewan",71425,540.5,132.146160962072
2012,"Alberta",305530,2166.6,141.018185174928
2012,"British Columbia",244610,2295.6,106.556020212581
2012,"Canada",1940773,17475.6,111.056158300716
2012,"Manitoba",63988,621.3,102.990503782392
2012,"New Brunswick",34507,355,97.2028169014085
2012,"Newfoundland and Labrador",31815,239.9,132.617757398916
2012,"Nova Scotia",41327,458.1,90.213927090155
2012,"Ontario",738001,6702.9,110.101747005028
2012,"Prince Edward Island",6148,72.9,84.3347050754458
2012,"Quebec",385706,4013.8,96.0949723454083
2012,"Saskatchewan",72645,549.6,132.177947598253
2013,"Alberta",322960,2211.1,146.063045542942
2013,"British Columbia",250066,2322,107.694229112834
2013,"Canada",1985911,17712.2,112.121080385271
2013,"Manitoba",65845,626.8,105.049457562221
2013,"New Brunswick",34414,357.6,96.2360178970917
2013,"Newfoundland and Labrador",33486,241.9,138.429102935097
2013,"Nova Scotia",41189,455.3,90.4656270590819
2013,"Ontario",748281,6806.9,109.929777137904
2013,"Prince Edward Island",6256,73.8,84.769647696477
2013,"Quebec",390851,4053.3,96.4278489132312
2013,"Saskatchewan",77398,563.5,137.352262644188
2014,"Alberta",341998,2246.9,152.208821042325
2014,"British Columbia",259251,2349.3,110.352445409271
2014,"Canada",2042976,17783.2,114.882360879932
2014,"Manitoba",67203,628.3,106.960050931084
2014,"New Brunswick",34454,357.6,96.3478747203579
2014,"Newfoundland and Labrador",33096,239.6,138.130217028381
2014,"Nova Scotia",41589,448,92.8325892857143
2014,"Ontario",767050,6840,112.141812865497
2014,"Prince Edward Island",6263,73.3,85.4433833560709
2014,"Quebec",397068,4033.3,98.4474251853321
2014,"Saskatchewan",78958,566.9,139.280296348562
2015,"Alberta",329332,2265.6,145.361935028249
2015,"British Columbia",264523,2388.9,110.730043116079
2015,"Canada",2056255,17905.9,114.836729792973
2015,"Manitoba",68032,637.4,106.733605271415
2015,"New Brunswick",34679,354.8,97.7423900789177
2015,"Newfoundland and Labrador",32709,239.6,136.515025041736
2015,"Nova Scotia",41868,444.3,94.2336259284267
2015,"Ontario",785866,6887,114.108610425439
2015,"Prince Edward Island",6351,72.9,87.119341563786
2015,"Quebec",400611,4050.2,98.9114117821342
2015,"Saskatchewan",78293,565.2,138.522646850672
2016,"Alberta",317951,2204.6,144.221627506124
2016,"British Columbia",271919,2467.9,110.182341261802
2016,"Canada",2077610,18008.7,115.367017052869
2016,"Manitoba",69017,637.6,108.244981179423
2016,"New Brunswick",34959,357.6,97.760067114094
2016,"Newfoundland and Labrador",33201,234.5,141.582089552239
2016,"Nova Scotia",42531,443.2,95.9634476534296
2016,"Ontario",802365,6956.4,115.341987234777
2016,"Prince Edward Island",6487,72.5,89.4758620689655
2016,"Quebec",407036,4073.3,99.9278226499398
2016,"Saskatchewan",78232,561.1,139.426127250045
2017,"Alberta",332256,2221.1,149.590743325379
2017,"British Columbia",282283,2560.3,110.253876498848
2017,"Canada",2140641,18395,116.370807284588
2017,"Manitoba",71285,648.1,109.990742169418
2017,"New Brunswick",35828,360.1,99.4945848375451
2017,"Newfoundland and Labrador",33689,225.7,149.264510412051
2017,"Nova Scotia",43314,447.1,96.8776560053679
2017,"Ontario",824979,7117.3,115.911792393183
2017,"Prince Edward Island",6791,75,90.5466666666667
2017,"Quebec",418675,4177.7,100.216626373363
2017,"Saskatchewan",80257,562.5,142.679111111111
2018,"Alberta",338965,2280.1,148.66233937108
2018,"British Columbia",292182,2606.4,112.101749539595
2018,"Canada",2199358,18723.3,117.466365437717
2018,"Manitoba",72648,654,111.082568807339
2018,"New Brunswick",36218,361.4,100.21582733813
2018,"Newfoundland and Labrador",32836,226.7,144.843405381562
2018,"Nova Scotia",44077,451.8,97.5586542718017
2018,"Ontario",852029,7245.9,117.587739273244
2018,"Prince Edward Island",6906,77,89.6883116883117
2018,"Quebec",430244,4253.3,101.15533820798
2018,"Saskatchewan",81590,566.5,144.024713150927
2019,"Alberta",339281,2307.8,147.014905971055
2019,"British Columbia",299857,2677.7,111.983045150689
2019,"Canada",2241331,19121.2,117.217067966446
2019,"Manitoba",73505,661.4,111.135470214696
2019,"New Brunswick",36704,363.6,100.946094609461
2019,"Newfoundland and Labrador",34157,229.9,148.573292735972
2019,"Nova Scotia",45586,464.6,98.1188118811881
2019,"Ontario",869792,7429.2,117.077478059549
2019,"Prince Edward Island",7222,79.5,90.8427672955975
2019,"Quebec",442435,4330.7,102.1624679613
2019,"Saskatchewan",81221,576.9,140.788698214595
2020,"Alberta",312726,2143.7,145.88141997481
2020,"British Columbia",290575,2509.2,115.803841861948
2020,"Canada",2128408,18043.8,117.957858100844
2020,"Manitoba",70493,632.6,111.433765412583
2020,"New Brunswick",35393,352.4,100.434165720772
2020,"Newfoundland and Labrador",32512,215.5,150.867749419954
2020,"Nova Scotia",43513,443.3,98.1570042860365
2020,"Ontario",830265,7025.9,118.172049132495
2020,"Prince Edward Island",7003,76.8,91.1848958333333
2020,"Quebec",421445,4096.8,102.871753563757
2020,"Saskatchewan",77761,547.5,142.029223744292
2021,"Alberta",329067,2259.6,145.630642591609
2021,"British Columbia",312961,2663.9,117.482262847704
2021,"Canada",2255059,18942.3,119.04884834471
2021,"Manitoba",71498,656.2,108.957634867418
2021,"New Brunswick",37271,363.5,102.533700137552
2021,"Newfoundland and Labrador",32836,222.8,147.37881508079
2021,"Nova Scotia",46290,468.1,98.8891262550737
2021,"Ontario",880652,7393.3,119.114874278063
2021,"Prince Edward Island",7552,79.9,94.5181476846058
2021,"Quebec",452009,4273.4,105.772686853559
2021,"Saskatchewan",75722,561.7,134.808616699306
2022,"Alberta",348686,2376.1,146.747190774799
2022,"British Columbia",325364,2747.9,118.404599876269
2022,"Canada",2349525,19693,119.307621997664
2022,"Manitoba",74505,677.5,109.970479704797
2022,"New Brunswick",38027,373.5,101.812583668005
2022,"Newfoundland and Labrador",32199,232.5,138.490322580645
2022,"Nova Scotia",47888,484.9,98.758506908641
2022,"Ontario",916916,7731.6,118.593305396037
2022,"Prince Edward Island",7886,84.2,93.6579572446556
2022,"Quebec",467245,4403.1,106.117281006564
2022,"Saskatchewan",81201,581.5,139.640584694755
2023,"Alberta",356761,2461.1,144.959977245947
2023,"British Columbia",333100,2791.8,119.313704420087
2023,"Canada",2385443,20170.9,118.261604588789
2023,"Manitoba",75764,694.6,109.075727037144
2023,"New Brunswick",38636,386.5,99.9637774902975
2023,"Newfoundland and Labrador",31358,236.7,132.479932403887
2023,"Nova Scotia",48849,497.8,98.1297709923664
2023,"Ontario",932757,7914.8,117.849724566635
2023,"Prince Edward Island",8062,89,90.5842696629213
2023,"Quebec",470252,4506.4,104.352032664655
2023,"Saskatchewan",83105,592.2,140.332657885849
