"DATE","Year","Month","GEO","Electric power, components","VALUE"
2008-01-01,2008,1,"Canada","Total generation",59082501
2008-01-01,2008,1,"Canada","Total receipts",1391169
2008-01-01,2008,1,"Canada","Purchased receipts from the United States",1337651
2008-01-01,2008,1,"Canada","Other receipts from the United States",53518
2008-01-01,2008,1,"Canada","Total deliveries",4627072
2008-01-01,2008,1,"Canada","Deliveries to the United States",4627072
2008-01-01,2008,1,"Canada","Total firm deliveries",1455905
2008-01-01,2008,1,"Canada","Firm deliveries to the United States",1455905
2008-01-01,2008,1,"Canada","Total non-firm deliveries",3145483
2008-01-01,2008,1,"Canada","Non-firm deliveries to the United States",3145483
2008-01-01,2008,1,"Canada","Total other deliveries",25684
2008-01-01,2008,1,"Canada","Other deliveries to the United States",25684
2008-01-01,2008,1,"Canada","Total electricity available for use within specific geographic border",55846598
2008-01-01,2008,1,"Newfoundland and Labrador","Total generation",4860095
2008-01-01,2008,1,"Newfoundland and Labrador","Total receipts",2322
2008-01-01,2008,1,"Newfoundland and Labrador","Receipts from other provinces",2322
2008-01-01,2008,1,"Newfoundland and Labrador","Total deliveries",3608395
2008-01-01,2008,1,"Newfoundland and Labrador","Deliveries to other provinces",3608395
2008-01-01,2008,1,"Newfoundland and Labrador","Total firm deliveries",3608395
2008-01-01,2008,1,"Newfoundland and Labrador","Firm deliveries to other provinces",3608395
2008-01-01,2008,1,"Newfoundland and Labrador","Total non-firm deliveries",0
2008-01-01,2008,1,"Newfoundland and Labrador","Non-firm deliveries to other provinces",0
2008-01-01,2008,1,"Newfoundland and Labrador","Total electricity available for use within specific geographic border",1254022
2008-01-01,2008,1,"Prince Edward Island","Total generation",11321
2008-01-01,2008,1,"Prince Edward Island","Total receipts",92270
2008-01-01,2008,1,"Prince Edward Island","Receipts from other provinces",92270
2008-01-01,2008,1,"Prince Edward Island","Total deliveries",0
2008-01-01,2008,1,"Prince Edward Island","Deliveries to other provinces",0
2008-01-01,2008,1,"Prince Edward Island","Total firm deliveries",0
2008-01-01,2008,1,"Prince Edward Island","Firm deliveries to other provinces",0
2008-01-01,2008,1,"Prince Edward Island","Total non-firm deliveries",0
2008-01-01,2008,1,"Prince Edward Island","Non-firm deliveries to other provinces",0
2008-01-01,2008,1,"Prince Edward Island","Total electricity available for use within specific geographic border",103591
2008-01-01,2008,1,"Nova Scotia","Total generation",1189005
2008-01-01,2008,1,"Nova Scotia","Total receipts",64623
2008-01-01,2008,1,"Nova Scotia","Receipts from other provinces",46830
2008-01-01,2008,1,"Nova Scotia","Purchased receipts from the United States",17793
2008-01-01,2008,1,"Nova Scotia","Total deliveries",0
2008-01-01,2008,1,"Nova Scotia","Deliveries to other provinces",0
2008-01-01,2008,1,"Nova Scotia","Deliveries to the United States",0
2008-01-01,2008,1,"Nova Scotia","Total firm deliveries",0
2008-01-01,2008,1,"Nova Scotia","Firm deliveries to other provinces",0
2008-01-01,2008,1,"Nova Scotia","Firm deliveries to the United States",0
2008-01-01,2008,1,"Nova Scotia","Total non-firm deliveries",0
2008-01-01,2008,1,"Nova Scotia","Non-firm deliveries to other provinces",0
2008-01-01,2008,1,"Nova Scotia","Non-firm deliveries to the United States",0
2008-01-01,2008,1,"Nova Scotia","Total electricity available for use within specific geographic border",1253628
2008-01-01,2008,1,"New Brunswick","Total generation",1710816
2008-01-01,2008,1,"New Brunswick","Total receipts",333510
2008-01-01,2008,1,"New Brunswick","Receipts from other provinces",315920
2008-01-01,2008,1,"New Brunswick","Purchased receipts from the United States",17590
2008-01-01,2008,1,"New Brunswick","Other receipts from the United States",0
2008-01-01,2008,1,"New Brunswick","Total deliveries",274394
2008-01-01,2008,1,"New Brunswick","Deliveries to other provinces",163640
2008-01-01,2008,1,"New Brunswick","Deliveries to the United States",110754
2008-01-01,2008,1,"New Brunswick","Total firm deliveries",161308
2008-01-01,2008,1,"New Brunswick","Firm deliveries to other provinces",100345
2008-01-01,2008,1,"New Brunswick","Firm deliveries to the United States",60963
2008-01-01,2008,1,"New Brunswick","Total non-firm deliveries",113086
2008-01-01,2008,1,"New Brunswick","Non-firm deliveries to other provinces",63295
2008-01-01,2008,1,"New Brunswick","Non-firm deliveries to the United States",49791
2008-01-01,2008,1,"New Brunswick","Total other deliveries",0
2008-01-01,2008,1,"New Brunswick","Other deliveries to the United States",0
2008-01-01,2008,1,"New Brunswick","Total electricity available for use within specific geographic border",1769932
2008-01-01,2008,1,"Quebec","Total generation",19170108
2008-01-01,2008,1,"Quebec","Total receipts",4220942
2008-01-01,2008,1,"Quebec","Receipts from other provinces",4078120
2008-01-01,2008,1,"Quebec","Purchased receipts from the United States",142822
2008-01-01,2008,1,"Quebec","Other receipts from the United States",0
2008-01-01,2008,1,"Quebec","Total deliveries",2333417
2008-01-01,2008,1,"Quebec","Deliveries to other provinces",535241
2008-01-01,2008,1,"Quebec","Deliveries to the United States",1798176
2008-01-01,2008,1,"Quebec","Total firm deliveries",321762
2008-01-01,2008,1,"Quebec","Firm deliveries to other provinces",3175
2008-01-01,2008,1,"Quebec","Firm deliveries to the United States",318587
2008-01-01,2008,1,"Quebec","Total non-firm deliveries",2011655
2008-01-01,2008,1,"Quebec","Non-firm deliveries to other provinces",532066
2008-01-01,2008,1,"Quebec","Non-firm deliveries to the United States",1479589
2008-01-01,2008,1,"Quebec","Total other deliveries",0
2008-01-01,2008,1,"Quebec","Other deliveries to the United States",0
2008-01-01,2008,1,"Quebec","Total electricity available for use within specific geographic border",21057633
2008-01-01,2008,1,"Ontario","Total generation",14870199
2008-01-01,2008,1,"Ontario","Total receipts",728483
2008-01-01,2008,1,"Ontario","Receipts from other provinces",227860
2008-01-01,2008,1,"Ontario","Purchased receipts from the United States",491001
2008-01-01,2008,1,"Ontario","Other receipts from the United States",9622
2008-01-01,2008,1,"Ontario","Total deliveries",2079977
2008-01-01,2008,1,"Ontario","Deliveries to other provinces",465669
2008-01-01,2008,1,"Ontario","Deliveries to the United States",1614308
2008-01-01,2008,1,"Ontario","Total firm deliveries",765054
2008-01-01,2008,1,"Ontario","Firm deliveries to the United States",765054
2008-01-01,2008,1,"Ontario","Total non-firm deliveries",1314923
2008-01-01,2008,1,"Ontario","Non-firm deliveries to other provinces",465669
2008-01-01,2008,1,"Ontario","Non-firm deliveries to the United States",849254
2008-01-01,2008,1,"Ontario","Total other deliveries",0
2008-01-01,2008,1,"Ontario","Other deliveries to the United States",0
2008-01-01,2008,1,"Ontario","Total electricity available for use within specific geographic border",13518705
2008-01-01,2008,1,"Manitoba","Total generation",3116287
2008-01-01,2008,1,"Manitoba","Total receipts",102266
2008-01-01,2008,1,"Manitoba","Receipts from other provinces",96127
2008-01-01,2008,1,"Manitoba","Purchased receipts from the United States",6139
2008-01-01,2008,1,"Manitoba","Other receipts from the United States",0
2008-01-01,2008,1,"Manitoba","Total deliveries",650110
2008-01-01,2008,1,"Manitoba","Deliveries to other provinces",126595
2008-01-01,2008,1,"Manitoba","Deliveries to the United States",523515
2008-01-01,2008,1,"Manitoba","Total firm deliveries",219028
2008-01-01,2008,1,"Manitoba","Firm deliveries to other provinces",0
2008-01-01,2008,1,"Manitoba","Firm deliveries to the United States",219028
2008-01-01,2008,1,"Manitoba","Total non-firm deliveries",431082
2008-01-01,2008,1,"Manitoba","Non-firm deliveries to other provinces",126595
2008-01-01,2008,1,"Manitoba","Non-firm deliveries to the United States",304487
2008-01-01,2008,1,"Manitoba","Total other deliveries",0
2008-01-01,2008,1,"Manitoba","Other deliveries to the United States",0
2008-01-01,2008,1,"Manitoba","Total electricity available for use within specific geographic border",2568443
2008-01-01,2008,1,"Saskatchewan","Total generation",1833426
2008-01-01,2008,1,"Saskatchewan","Total receipts",144798
2008-01-01,2008,1,"Saskatchewan","Receipts from other provinces",118754
2008-01-01,2008,1,"Saskatchewan","Purchased receipts from the United States",26044
2008-01-01,2008,1,"Saskatchewan","Other receipts from the United States",0
2008-01-01,2008,1,"Saskatchewan","Total deliveries",146962
2008-01-01,2008,1,"Saskatchewan","Deliveries to other provinces",135790
2008-01-01,2008,1,"Saskatchewan","Deliveries to the United States",11172
2008-01-01,2008,1,"Saskatchewan","Total firm deliveries",0
2008-01-01,2008,1,"Saskatchewan","Firm deliveries to other provinces",0
2008-01-01,2008,1,"Saskatchewan","Firm deliveries to the United States",0
2008-01-01,2008,1,"Saskatchewan","Total non-firm deliveries",146962
2008-01-01,2008,1,"Saskatchewan","Non-firm deliveries to other provinces",135790
2008-01-01,2008,1,"Saskatchewan","Non-firm deliveries to the United States",11172
2008-01-01,2008,1,"Saskatchewan","Total other deliveries",0
2008-01-01,2008,1,"Saskatchewan","Other deliveries to the United States",0
2008-01-01,2008,1,"Saskatchewan","Total electricity available for use within specific geographic border",1831262
2008-01-01,2008,1,"Alberta","Total generation",5338240
2008-01-01,2008,1,"Alberta","Total receipts",210764
2008-01-01,2008,1,"Alberta","Receipts from other provinces",164439
2008-01-01,2008,1,"Alberta","Purchased receipts from the United States",46325
2008-01-01,2008,1,"Alberta","Total deliveries",88594
2008-01-01,2008,1,"Alberta","Deliveries to other provinces",53991
2008-01-01,2008,1,"Alberta","Deliveries to the United States",34603
2008-01-01,2008,1,"Alberta","Total firm deliveries",5541
2008-01-01,2008,1,"Alberta","Firm deliveries to other provinces",2608
2008-01-01,2008,1,"Alberta","Firm deliveries to the United States",2933
2008-01-01,2008,1,"Alberta","Total non-firm deliveries",83053
2008-01-01,2008,1,"Alberta","Non-firm deliveries to other provinces",51383
2008-01-01,2008,1,"Alberta","Non-firm deliveries to the United States",31670
2008-01-01,2008,1,"Alberta","Total electricity available for use within specific geographic border",5460410
2008-01-01,2008,1,"British Columbia","Total generation",6866052
2008-01-01,2008,1,"British Columbia","Total receipts",685216
2008-01-01,2008,1,"British Columbia","Receipts from other provinces",51383
2008-01-01,2008,1,"British Columbia","Purchased receipts from the United States",589937
2008-01-01,2008,1,"British Columbia","Other receipts from the United States",43896
2008-01-01,2008,1,"British Columbia","Total deliveries",639248
2008-01-01,2008,1,"British Columbia","Deliveries to other provinces",104704
2008-01-01,2008,1,"British Columbia","Deliveries to the United States",534544
2008-01-01,2008,1,"British Columbia","Total firm deliveries",89340
2008-01-01,2008,1,"British Columbia","Firm deliveries to other provinces",0
2008-01-01,2008,1,"British Columbia","Firm deliveries to the United States",89340
2008-01-01,2008,1,"British Columbia","Total non-firm deliveries",524224
2008-01-01,2008,1,"British Columbia","Non-firm deliveries to other provinces",104704
2008-01-01,2008,1,"British Columbia","Non-firm deliveries to the United States",419520
2008-01-01,2008,1,"British Columbia","Total other deliveries",25684
2008-01-01,2008,1,"British Columbia","Other deliveries to the United States",25684
2008-01-01,2008,1,"British Columbia","Total electricity available for use within specific geographic border",6912020
2008-01-01,2008,1,"Yukon","Total generation",38799
2008-01-01,2008,1,"Yukon","Total electricity available for use within specific geographic border",38799
2008-01-01,2008,1,"Northwest Territories","Total generation",63467
2008-01-01,2008,1,"Northwest Territories","Total electricity available for use within specific geographic border",63467
2008-01-01,2008,1,"Nunavut","Total generation",14686
2008-01-01,2008,1,"Nunavut","Total electricity available for use within specific geographic border",14686
2008-02-01,2008,2,"Canada","Total generation",55885424
2008-02-01,2008,2,"Canada","Total receipts",1411545
2008-02-01,2008,2,"Canada","Purchased receipts from the United States",1280003
2008-02-01,2008,2,"Canada","Other receipts from the United States",131542
2008-02-01,2008,2,"Canada","Total deliveries",4382286
2008-02-01,2008,2,"Canada","Deliveries to the United States",4382286
2008-02-01,2008,2,"Canada","Total firm deliveries",1333178
2008-02-01,2008,2,"Canada","Firm deliveries to the United States",1333178
2008-02-01,2008,2,"Canada","Total non-firm deliveries",3026482
2008-02-01,2008,2,"Canada","Non-firm deliveries to the United States",3026482
2008-02-01,2008,2,"Canada","Total other deliveries",22626
